ip	finger	hash	name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	castingStat	choices	country	countryCode	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
80bed40	f16cd01	ab6b01eaebcbaa520515a29ecfdcea9a	1976e830	Half-Elf	Soldier	2019-08-28T18:23:49Z	Paladin 2	Paladin		2		18	16	16	10	13	8	13	18		Athletics|History|Medicine|Intimidation|Persuasion	Javelin|Longsword		Cha	fighting style/Protection	NA	NA		NA	NA	Half-Elf		Javelin|Longsword	1-3	epic_williamson
090dd9a	eb08af4	4bf9d0d667c38dd0b886625372e48104	bff5038a	Human	Criminal	2019-08-28T17:24:52Z	Rogue 4	Rogue	Thief	4	Actor	27	12	12	15	13	10	10	13		Sleight of Hand|Stealth|Investigation|Deception|Intimidation|Persuasion	Shortsword|Shortbow|Dagger		Int	expertise/Intimidation*Deception	NA	NA		NA	NA	Human		Shortsword|Shortbow|Dagger	4-7	festive_chandrasekhar
67ac632	eb08af4	b4bc83d7a5fa033a10a42008dea1c9a2	ed988d8e	Dragonborn	Far Traveler	2019-08-28T14:19:20Z	Druid 3	Druid	Circle of Dreams	3		24	13	14	13	14	8	15	11	Neutral Good	Nature|Insight|Perception|Survival	Quarterstaff|Scimitar|Spear	Produce Flame*0|Shillelagh*0|Animal Friendship*1|Healing Word*1|Thunderwave*1|Entangle*1|Faerie Fire*1|Fog Cloud*1|Charm Person*1|Longstrider*1|Cure Wounds*1|Moonbeam*2|Spike Growth*2|Gust Of Wind*2|Lesser Restoration*2|Flame Blade*2|Barkskin*2	Wis		NA	NA	NG	NA	NA	Dragonborn	Produce Flame*0|Shillelagh*0|Animal Friendship*1|Healing Word*1|Thunderwave*1|Entangle*1|Faerie Fire*1|Fog Cloud*1|Charm Person*1|Longstrider*1|Cure Wounds*1|Moonbeam*2|Spike Growth*2|Gust of Wind*2|Lesser Restoration*2|Flame Blade*2|Barkskin*2	Quarterstaff|Scimitar|Spear	1-3	gifted_goldwasser
67ac632	eb08af4	4565f9f0c9a52d7c54f3d7ee5b682270	4dfc11b0	Half-Orc	Knight	2019-08-28T14:12:32Z	Fighter 3	Fighter	Eldritch Knight	3		31	13	16	13	16	10	12	8	Good	Athletics|History|Perception|Intimidation|Persuasion	Greatsword|Handaxe	Chill Touch*0|Ray Of Frost*0|Burning Hands*1|Mage Armor*1|Jump*1	Int	fighting style/Great Weapon Fighting	NA	NA	NG	NA	NA	Half-Orc	Chill Touch*0|Ray of Frost*0|Burning Hands*1|Mage Armor*1|Jump*1	Greatsword|Handaxe	1-3	recursing_wilson
67ac632	eb08af4	986966525ec6bf60b9a3820a95309070	aa03e024	Half-Elf	Inheritor	2019-08-28T13:56:29Z	Paladin 3	Paladin	OathBreaker	3		27	15	12	15	15	11	8	15	Chaotic Good	Athletics|Arcana|Religion|Survival|Performance|Persuasion	Longsword|Crossbow, Light|Longsword “Talon”	Hellish Rebuke (pg 250)*1|Inflict Wounds (pg 253)*1|Compell Duel (pg 224)*1|Sheild Of Faith (pg 279)*1	Cha	fighting style/Defense	NA	NA	CG	NA	NA	Half-Elf	Hellish Rebuke*1|Inflict Wounds*1|Compelled Duel*1|*	Longsword|Crossbow, Light|Longsword	1-3	goofy_ptolemy
67ac632	eb08af4	16f81613b74ef177b089dce1aa9d9a09	5618d094	Firbolg	Folk Hero	2019-08-28T13:52:19Z	Ranger 3	Ranger	Beast Master	3		22	12	14	15	10	12	16	8	Chaotic Good	Stealth|Nature|Animal Handling|Insight|Survival	Shortsword|Longbow|Greatsword	Cure Wounds*1|Hunters Mark*1|Speak With Animals*1	Wis	fighting style/Archery	NA	NA	CG	NA	NA	Firbolg	Cure Wounds*1|Hunter's Mark*1|Speak with Animals*1	Shortsword|Longbow|Greatsword	1-3	practical_jackson
67ac632	eb08af4	6aa36d880409a646e0d83b6b46326fb8	48a333b2	Rock Gnome	Urban Bounty Hunter	2019-08-28T13:48:50Z	Monk 3	Monk	Way of the Drunken Master	3		20	13	15	14	11	10	12	13	Chaotic Good	Athletics|Acrobatics|Insight|Deception|Performance	Sickle|Dart|Unarmed Strike		Int		NA	NA	CG	NA	NA	Gnome		Sickle|Dart|Unarmed Strike	1-3	condescending_sinoussi
67ac632	eb08af4	7a614554fffaad418889f4045ea21dc5	4ce7b24e	Tiefling	Charlatan	2019-08-28T13:43:25Z	Cleric 3	Cleric	Trickery Domain	3		18	13	8	12	10	14	14	17	Good	Sleight of Hand|Religion|Insight|Deception	Mace|Crossbow, Light	Sacred Flame*0|Thaumaturgy*0|Charm Person *1|Disguise Self *1|Bane*1|Cure Wounds*1|Inflict Wounds*1|Mirror Image *2|Pass Without Trace *2|Spiritual Weapon*2	Wis		NA	NA	NG	NA	NA	Tiefling	Sacred Flame*0|Thaumaturgy*0|Charm Person*1|Disguise Self*1|Bane*1|Cure Wounds*1|Inflict Wounds*1|Mirror Image*2|Pass Without Trace*2|Spiritual Weapon*2	Mace|Crossbow, Light	1-3	nervous_swartz
67ac632	eb08af4	03b04fd0800364fe311a4aed7863ac91	a554350c	Half-Orc	Entertainer	2019-08-28T13:40:41Z	Bard 3	Bard	College of Glamour	3		21	11	16	8	13	10	13	15	Lawful Good	Athletics|Acrobatics|History|Intimidation|Performance|Persuasion	Quarterstaff|Dagger	Light*0|Vicious Mockery*0|Charm Person*1|Healing Word*1|Hideous Laughter*1|Thunderwave*1|Detect Magic*1|Invisibility*2	Cha	expertise/Persuasion*Performance	NA	NA	LG	NA	NA	Half-Orc	Light*0|Vicious Mockery*0|Charm Person*1|Healing Word*1|Tasha's Hideous Laughter*1|Thunderwave*1|Detect Magic*1|Invisibility*2	Quarterstaff|Dagger	1-3	jolly_chebyshev
67ac632	eb08af4	4097602b1d92f726247ccbcd9df9043d	aa03e024	Half-Elf	Inheritor	2019-08-28T13:35:51Z	Paladin 3	Paladin	OathBreaker	3		27	15	12	15	15	11	8	15	Chaotic Good	Athletics|Arcana|Religion|Survival|Performance|Persuasion	Longsword|Crossbow, Light	Hellish Rebuke (pg 250)*1|Inflict Wounds (pg 253)*1|Compell Duel (pg 224)*1|Sheild Of Faith (pg 279)*1	Cha	fighting style/Defense	NA	NA	CG	NA	NA	Half-Elf	Hellish Rebuke*1|Inflict Wounds*1|Compelled Duel*1|*	Longsword|Crossbow, Light	1-3	goofy_ptolemy
67ac632	eb08af4	cb910f97dd3b4d255d2e720e778be3ea	8046f158	Human	Haunted One	2019-08-28T13:28:08Z	Wizard 3	Wizard	School of Necromancy	3		14	12	13	14	11	15	16	9	Chaotic Good	Arcana|History|Investigation|Survival	Dagger	Fire Bolt*0|Chill Touch*0|Prestidigitation*0|False Life*1|Witch Bolt*1|Magic Missile*1|Fog Cloud*1|Ray Of Enfeeblement*2	Int		NA	NA	CG	NA	NA	Human	Fire Bolt*0|Chill Touch*0|Prestidigitation*0|False Life*1|Witch Bolt*1|Magic Missile*1|Fog Cloud*1|Ray of Enfeeblement*2	Dagger	1-3	unruffled_tereshkova
67ac632	eb08af4	45198a27af2cdb97bd608ad086c78f62	8046f158	Human	Haunted One	2019-08-28T13:26:12Z	Wizard 3	Wizard	School of Necromancy	3		14	12	13	14	11	15	16	9	Chaotic Good	Arcana|History|Investigation|Survival	Dagger	Fire Bolt*0|Message*0|Prestidigitation*0|Burning Hands*1|Mage Armor*1|Magic Missile*1|Fog Cloud*1|Ray Of Enfeeblement*2	Int		NA	NA	CG	NA	NA	Human	Fire Bolt*0|Message*0|Prestidigitation*0|Burning Hands*1|Mage Armor*1|Magic Missile*1|Fog Cloud*1|Ray of Enfeeblement*2	Dagger	1-3	unruffled_tereshkova
9fd1279	e5255c6	b965fb872aff39d2834659c68f1e0e0b	c16fd5d1	Wood Elf	Inheritor	2019-08-28T11:34:39Z	Druid 9	Druid	Circle of the Shepherd	9	Linguist|War Caster	68	14	7	12	12	17	20	16		History|Religion|Insight|Perception|Survival	Staff of the Woodlands		Wis		NA	NA		NA	NA	Elf			8-11	recursing_lamarr
	94aa610	711da1e25391d49cf6c0ba81f88a0e91	761c1f58	Human	Smuggler	2019-08-28T01:46:54Z	Fighter 1	Fighter		1		16	18	17	15	15	11	14	13	C/N	Athletics|Acrobatics|Deception|Intimidation	Longsword|Crossbow, light		Int	fighting style/Protection	Canada	CA	CN	NA	NA	Human		Longsword|Crossbow, Light	1-3	peaceful_neumann
	94aa610	7b57a5c8cb50efae0e7a76b6bdd7c229	6d30c9f7	Wood Elf	Smuggler	2019-08-28T01:46:37Z	Rogue 1	Rogue		1		18	15	12	19	15	9	15	10	C/N	Athletics|Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Intimidation	Shortsword|Shortbow|Dagger		Int	expertise/Thieves' Tools*Perception	Canada	CA	CN	NA	NA	Elf		Shortsword|Shortbow|Dagger	1-3	sweet_easley
	94aa610	7bca27135ab4999f06a5f2a7c4a32ce8	a4908d16	Kenku	Mercenary Veteran	2019-08-28T01:46:05Z	Monk 1	Monk		1		17	15	13	16	12	12	14	9		Athletics|Acrobatics|Stealth|History|Insight|Persuasion	Unarmed strike|Dart|Quarterstaff		Int		Canada	CA		NA	NA	Kenku		Unarmed Strike|Dart|Quarterstaff	1-3	musing_banzai
6deddb0	3e8fc76	4416f1bb73e114731ce1f77d9a036517	8445ad82	Half-Orc	Clan Crafter	2019-08-27T22:13:53Z	Barbarian 16	Barbarian	Path of the Ancestral Guardian	16	Resilient|Great Weapon Master	225	20	20	20	20	14	15	15		Athletics|History|Insight|Perception|Intimidation	Greataxe|Handaxe|Javelin|Grxe Rage Recklss GWM|Grxe ALL Crit	Augury (1/day)*0|Clairvoyance (1/day)*0	Int		NA	NA		NA	NA	Half-Orc	*|*	Greataxe|Handaxe|Javelin||	16-18	wonderful_archimedes
88a7bf8	3e8fc76	fcfa9a70a7833a4c1c4ceab9e740b3c3	fe695a4e	Tabaxi	Criminal	2019-08-27T22:03:59Z	Monk 13|Ranger 3	Monk|Ranger	Way of Shadow|Gloom Stalker	16	Mobile	148	20	16	20	16	15	20	12		Athletics|Acrobatics|Stealth|Investigation|Perception|Deception	+1 Spear|+1 Dart|Unarmed strike	Minor Illusion*0|Disguise Self*1|Hunter's Mark*1|Absorb Elements*1|Fog Cloud*1	Wis	fighting style/Dueling	NA	NA		NA	NA	Tabaxi	Minor Illusion*0|Disguise Self*1|Hunter's Mark*1|Absorb Elements*1|Fog Cloud*1	Spear|Dart|Unarmed Strike	16-18	silly_gould
187b1c9	124c09e	90dfd52b08c6a1d80c62d76243897802	e7e2e8da	Scourge Aasimar	Faction Agent	2019-08-27T20:19:59Z	Paladin 1	Paladin		1		12	12	15	8	14	10	12	16		Religion|Insight|Intimidation|Persuasion	Longsword|Javelin		Cha		NA	NA		NA	NA	Aasimar		Longsword|Javelin	1-3	goofy_mclaren
d0fd4c0	0fc4a07	9fed9a047e58a9c0ea6a920442493e3d	37c2253f	Human	Urban Bounty Hunter	2019-08-27T14:22:45Z	Fighter 20	Fighter	Mandalorian	20	Sharpshooter|Medium Armor Master|Tough	280	17	8	20	14	12	12	18		Stealth|Insight|Perception|Survival|Intimidation	Longbow|Rapier|Rapier|Crossbow, light		Int	fighting style/Archery	NA	NA		NA	NA	Human		Longbow|Rapier|Rapier|Crossbow, Light	19-20	angry_sanderson
d0fd4c0	0fc4a07	906c1daeaa30a89df06333a8a8f21957	37c2253f	Human	Urban Bounty Hunter	2019-08-27T14:22:20Z	Fighter 16	Fighter	Mandalorian	16	Sharpshooter|Medium Armor Master|Tough	224	17	8	20	14	12	12	16		Stealth|Insight|Perception|Survival|Intimidation	Longbow|Rapier|Rapier|Crossbow, light		Int	fighting style/Archery	NA	NA		NA	NA	Human		Longbow|Rapier|Rapier|Crossbow, Light	16-18	angry_sanderson
d0fd4c0	0fc4a07	e1a31e3d18dda1caa90ac07fafe55588	37c2253f	Human	Urban Bounty Hunter	2019-08-27T14:22:03Z	Fighter 12	Fighter	Mandalorian	12	Sharpshooter|Medium Armor Master|Tough	168	17	8	20	14	10	12	14		Stealth|Insight|Perception|Survival|Intimidation	Longbow|Rapier|Rapier|Crossbow, light		Int	fighting style/Archery	NA	NA		NA	NA	Human		Longbow|Rapier|Rapier|Crossbow, Light	12-15	angry_sanderson
d0fd4c0	0fc4a07	fc78fdeaaa560609e063205fa8ff9493	37c2253f	Human	Urban Bounty Hunter	2019-08-27T14:21:32Z	Fighter 8	Fighter	Mandalorian	8	Sharpshooter|Medium Armor Master|Tough	112	17	8	18	14	10	12	14		Stealth|Insight|Perception|Survival|Intimidation	Longbow|Rapier|Rapier|Crossbow, light		Int	fighting style/Archery	NA	NA		NA	NA	Human		Longbow|Rapier|Rapier|Crossbow, Light	8-11	angry_sanderson
d0fd4c0	0fc4a07	1663a2de6cb69acd8ace8e5cada6491a	37c2253f	Human	Urban Bounty Hunter	2019-08-27T14:20:58Z	Fighter 4	Fighter	Mandalorian	4	Sharpshooter	48	16	8	18	14	10	12	14		Stealth|Insight|Perception|Survival|Intimidation	Longbow|Rapier|Rapier|Crossbow, light		Int	fighting style/Archery	NA	NA		NA	NA	Human		Longbow|Rapier|Rapier|Crossbow, Light	4-7	angry_sanderson
2cd0a00	a77add2	0337b18250a7368b6089392312a59263	9a47f1ab	Wood Elf	Acolyte	2019-08-27T13:37:45Z	Monk 4	Monk	Way of the Drunken Master	4	Mobile	21	16	12	16	13	10	16	8	CG	Athletics|Acrobatics|Religion|Insight|Perception|Performance	Shortsword|Unarmed strike		Int		NA	NA	CG	NA	NA	Elf		Shortsword|Unarmed Strike	4-7	sharp_borg
774c010	0610f56	ea365aff3692b62a6c9edfb5b4b0eab6	fae52d55	Human	Entertainer	2019-08-27T09:54:33Z	Wizard 1	Wizard		1		8	14	11	19	15	20	12	12	Neutral 	Acrobatics|Arcana|Insight|Performance	Dagger	Prestigititation*0|Chill Touch*0|Light*0|Unseen Servant*1|Charm Person*1	Int		NA	NA	NN	NA	NA	Human	Prestidigitation*0|Chill Touch*0|Light*0|Unseen Servant*1|Charm Person*1	Dagger	1-3	jolly_kepler
889af34	98ade31	223633bba311e1ef91fd2eebabbc48d4	5507f380	Rock Gnome	Guild Artisan	2019-08-27T01:51:04Z	Sorcerer 6	Sorcerer	Divine Soul	6	Spell Sniper	46	10	8	10	15	17	16	16	chaotic good	Arcana|Religion|Insight|Persuasion	Crossbow, light|Dagger	Thaumaturgy*0|Ray Of Frost*0|Mage Hands*0|Friends*0|Eldritch Blast*0|Word Of Radiance*0|Healing Word*1|Shield*1|Spiritual Weapon*2|Suggestion*2|Maximilian's Earthen Grasp*2|Lightning Bolt*3|Thunder Step*3|Slow*3	Cha	metamagic/Twinned Spell*Quickened Spell	NA	NA	CG	NA	NA	Gnome	Thaumaturgy*0|Ray of Frost*0|Mage Hand*0|Friends*0|Eldritch Blast*0|Word of Radiance*0|Healing Word*1|Shield*1|Spiritual Weapon*2|Suggestion*2|Maximilian's Earthen Grasp*2|Lightning Bolt*3|Thunder Step*3|Slow*3	Crossbow, Light|Dagger	4-7	sweet_mcclintock
c57410b	e83457b	56d53f7ad62b71716ed8ddb148f1484d	12be55cd	Human	Criminal	2019-08-27T00:40:53Z	Monk 1	Monk		1	Prodigy	10	16	12	16	14	12	16	11		Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Perception	Shortsword|Dart|Unarmed strike		Int	expertise/Athletics	NA	NA		NA	NA	Human		Shortsword|Dart|Unarmed Strike	1-3	brave_booth
c57410b	e83457b	61715e21f36cee28cec12b6220fc88e7	d2a30dfc	Hill Dwarf	Guild Artisan	2019-08-27T00:40:38Z	Cleric 1	Cleric	Forge Domain	1		14	18	15	10	20	16	18	12		Religion|Insight|Medicine|Perception	Mace|Crossbow, light	Identify*1|Searing Smite*1	Wis		NA	NA		NA	NA	Dwarf	Identify*1|Searing Smite*1	Mace|Crossbow, Light	1-3	awesome_ramanujan
8c05ad4	5ef2034	28278188caf7d8835f4ca30f413742d4	c6a92f4f	Human	Haunted One	2019-08-26T21:00:17Z	Fighter 1	Fighter		1	Magic Initiate	12	16	16	12	14	15	14	11	Chaotic Neutral	Athletics|Arcana|Insight|Perception|Survival	Longsword|Morningstar|Crossbow, light	Ray of Frost 1d8,*0|Spare the Dying*0|Hex*1	Int	fighting style/Dueling	NA	NA	CN	NA	NA	Human	Ray of Frost*0|Spare the Dying*0|Hex*1	Longsword|Morningstar|Crossbow, Light	1-3	xenodochial_cartwright
8c05ad4	5ef2034	0cdead8db12417175b13c0741ba5b227	c6a92f4f	Human	Haunted One	2019-08-26T19:55:47Z	Fighter 1	Fighter		1	Magic Initiate	12	16	16	12	14	15	14	11		Athletics|Arcana|Insight|Perception|Survival	Longsword|Morningstar|Crossbow, light	Ray of Frost 1d8,*0|Spare the Dying*0|Hex*1	Int	fighting style/Dueling	NA	NA		NA	NA	Human	Ray of Frost*0|Spare the Dying*0|Hex*1	Longsword|Morningstar|Crossbow, Light	1-3	xenodochial_cartwright
8c05ad4	5ef2034	fdcb5bfa7acc6a68a42ee369e5402130	c6a92f4f	Human	Haunted One	2019-08-26T19:34:22Z	Fighter 1	Fighter		1	Magic Initiate	12	16	16	12	14	15	14	11		Athletics|Arcana|Insight|Perception|Survival	Longsword|Morningstar|Crossbow, light		Int	fighting style/Dueling	NA	NA		NA	NA	Human		Longsword|Morningstar|Crossbow, Light	1-3	xenodochial_cartwright
	49fba77	a4a37fa3174d86e76b99a4457bccfe57	fe1194be	Human	Haunted One	2019-08-26T19:08:32Z	Wizard 12	Wizard	School of Abjuration	12	Keen Mind|Tough|Elemental Adept	117	16	10	16	16	20	12	12	Neutral Good	Stealth|Arcana|Investigation|Perception|Intimidation	Dagger	Fire Bolt*0|Light*0|Prestidigitation*0|Mending*0|Shield*1|Magic Missile*1|Catapault*1|Chromatic Orb*1|Identify*1|Comprehend Languages*1|Detect Magic*1|Alarm*1|See Invisibility*2|Invisibility*2|Arcane Lock*2|Locate Object*2|Fireball*3|Magic Circle*3|Glyph Of Warding*3|Leomund's Tiny Hut*3|Dispel Magic*3|Counterspell*3|Arcane Eye*4|Locate Creature*4|Private Sanctum*4|Wall Of Fire*4|Faithful Hound*4|Bigby's Hand*5|Wall Of Force*5|Scrying*5|Legend Lore*5|Contact Other Planes*5|Gaurds and Wards*6|True Seeing*6	Int		Canada	CA	NG	NA	NA	Human	Fire Bolt*0|Light*0|Prestidigitation*0|Mending*0|Shield*1|Magic Missile*1|Catapult*1|Chromatic Orb*1|Identify*1|Comprehend Languages*1|Detect Magic*1|Alarm*1|See Invisibility*2|Invisibility*2|Arcane Lock*2|Locate Object*2|Fireball*3|Magic Circle*3|Glyph of Warding*3|Leomund's Tiny Hut*3|Dispel Magic*3|Counterspell*3|Arcane Eye*4|Locate Creature*4|Ice Storm*4|Wall of Fire*4|*|Bigby's Hand*5|Wall of Force*5|Scrying*5|Legend Lore*5|Contact Other Plane*5|Guards and Wards*6|True Seeing*6	Dagger	12-15	unruffled_germain
	cd03b56	1a0a03d065d724e956a0ef8d375d9c83	02afcef0	Forest Gnome	Folk Hero	2019-08-26T16:43:53Z	Fighter 3	Fighter	Cavalier	3		25	18	14	15	13	13	13	13		Acrobatics|Animal Handling|Insight|Survival|Intimidation	Trident|Crossbow, light		Int	fighting style/Dueling	Canada	CA		NA	NA	Gnome		Trident|Crossbow, Light	1-3	kind_grothendieck
	cd03b56	8352bf310289b45a7895413439a3a276	16674bf8	Goliath	Criminal	2019-08-26T16:31:12Z	Barbarian 3	Barbarian	Path of the Zealot	3		38	17	18	16	18	12	15	12		Athletics|Stealth|Perception|Deception|Intimidation	Greataxe|Handaxe|Javelin		Int		Canada	CA		NA	NA	Goliath		Greataxe|Handaxe|Javelin	1-3	sleepy_volhard
	cd03b56	e657b3e695bbc22539515b61e62b44fe	e556842b	Tabaxi	Criminal	2019-08-26T16:30:58Z	Rogue 3	Rogue	Swashbuckler	3		27	14	10	17	17	11	17	16		Athletics|Acrobatics|Stealth|Insight|Perception|Deception|Persuasion	Shortbow|Dagger|Shortsword		Int	expertise/Thieves' Tools*Perception	Canada	CA		NA	NA	Tabaxi		Shortbow|Dagger|Shortsword	1-3	nostalgic_villani
	cd03b56	b8415d6f681101e4596506c9afa476cb	f05a2f12	Tabaxi	Outlander	2019-08-26T16:30:37Z	Druid 3	Druid	Circle of Dreams	3		27	13	8	14	17	8	18	10		Athletics|Stealth|Animal Handling|Medicine|Perception|Survival	Quarterstaff|Javelin		Wis		Canada	CA		NA	NA	Tabaxi		Quarterstaff|Javelin	1-3	festive_mclean
	cd03b56	bf02d3bfb70c478cdf69686e62e52050	aedd8282	Lizardfolk	Outlander	2019-08-26T16:28:52Z	Revised Ranger 3	Revised Ranger	Deep Stalker Conclave	3		31	15	11	15	16	10	16	10		Athletics|Stealth|Investigation|Nature|Insight|Perception|Survival	Shortsword|Longbow	Disguise Self*1	Wis	fighting style/Archery|favored enemy/Humanoids	Canada	CA		NA	NA	Lizardfolk	Disguise Self*1	Shortsword|Longbow	1-3	relaxed_mccarthy
afa570d	eb495e1	606f156fb8fa2c80a391a3ed2c6db6a3	d64aa1db	High Elf	Noble	2019-08-26T14:38:10Z	Sorcerer 5	Sorcerer	Wild Magic	5		30	14	16	18	14	15	10	18		Arcana|History|Religion|Perception|Persuasion	Crossbow, light|Dagger		Cha	metamagic/Distant Spell	NA	NA		NA	NA	Elf		Crossbow, Light|Dagger	4-7	wizardly_boyd
afa570d	eb495e1	005a13da7ffec7e8c9d62aeac2c2dd32	a840cf06	Dragonborn	Sage	2019-08-26T14:36:01Z	Warlock 5	Warlock	The Archfey	5		30	14	9	16	12	12	11	20		Arcana|History|Nature|Deception	Crossbow, light|Dagger		Cha	pact boon/Pact of the Chain|eldritch invocations/Repelling Blast*Agonizing Blast*Voice of the Chain Master	NA	NA		NA	NA	Dragonborn		Crossbow, Light|Dagger	4-7	blissful_gauss
afa570d	eb495e1	e0e6d09dff5f77eb032a7ce69665d094	71e8bb35	Hill Dwarf	Acolyte	2019-08-26T14:33:45Z	Cleric 5	Cleric	Life Domain	5		50	18	16	14	18	12	18	10		History|Religion|Insight|Medicine	Mace|Crossbow, light	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3	Wis		NA	NA		NA	NA	Dwarf	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3	Mace|Crossbow, Light	4-7	wizardly_bardeen
afa570d	eb495e1	b10c48d4ef1543327c943835e1405df7	bce62b48	Tiefling	Folk Hero	2019-08-26T14:31:53Z	Wizard 5	Wizard	School of Divination	5		20	11	8	12	10	20	17	11		Arcana|Animal Handling|Insight|Survival	Quarterstaff		Int		NA	NA		NA	NA	Tiefling		Quarterstaff	4-7	jovial_dirac
a3ed185	eb08af4	8d93126d35f74d53eae0876df85f7d54	a7d68511	Tiefling	Far Traveler	2019-08-26T13:44:38Z	Barbarian 1	Barbarian		1		13	13	15	14	13	13	10	10		Athletics|Insight|Perception|Intimidation	Greataxe|Javelin		Int		NA	NA		NA	NA	Tiefling		Greataxe|Javelin	1-3	sweet_kare
a3ed185	eb08af4	11a7099afd8bfca1b977e74b7007b21c	4dfc11b0	Half-Orc	Knight	2019-08-26T13:44:11Z	Fighter 1	Fighter		1		13	13	16	13	16	10	12	8		Athletics|History|Perception|Intimidation|Persuasion	Greatsword|Handaxe		Int	fighting style/Great Weapon Fighting	NA	NA		NA	NA	Half-Orc		Greatsword|Handaxe	1-3	recursing_wilson
a3ed185	eb08af4	b82f282fb362bb392c06f96749e44f10	4ce7b24e	Tiefling	Charlatan	2019-08-26T13:43:35Z	Cleric 1	Cleric	Trickery Domain	1		8	13	8	12	10	14	14	17		Sleight of Hand|Religion|Insight|Deception	Mace	Sacred Flame*0|Thaumaturgy*0|Charm Person *1|Disguise Self *1|Bane*1|Cure Wounds*1|Inflict Wounds*1	Wis		NA	NA		NA	NA	Tiefling	Sacred Flame*0|Thaumaturgy*0|Charm Person*1|Disguise Self*1|Bane*1|Cure Wounds*1|Inflict Wounds*1	Mace	1-3	nervous_swartz
a3ed185	eb08af4	278f9e2a651f44030f94b69ab70a5969	b7fb2000	Rock Gnome	Urban Bounty Hunter	2019-08-26T13:42:25Z	Monk 1	Monk		1		8	13	15	14	11	10	12	13		Athletics|Acrobatics|Insight|Deception	Sickle|Dart|Unarmed Strike		Int		NA	NA		NA	NA	Gnome		Sickle|Dart|Unarmed Strike	1-3	reverent_pascal
a3ed185	eb08af4	b122f2dd5cec3391d354df7188fd72f6	5618d094	Firbolg	Folk Hero	2019-08-26T13:41:53Z	Ranger 1	Ranger		1		10	12	14	15	10	12	16	8		Stealth|Nature|Animal Handling|Insight|Survival	Shortsword|Longbow		Wis		NA	NA		NA	NA	Firbolg		Shortsword|Longbow	1-3	practical_jackson
a3ed185	eb08af4	eb76662620ee9afbe35c5acad11c58ac	ed988d8e	Dragonborn	Far Traveler	2019-08-26T13:40:28Z	Druid 1	Druid		1		10	11	14	13	14	8	15	11		Nature|Insight|Perception|Survival	Quarterstaff|Scimitar	Produce Flame*0|Shillelagh*0|Animal Friendship*1|Healing Word*1|Thunderwave*1	Wis		NA	NA		NA	NA	Dragonborn	Produce Flame*0|Shillelagh*0|Animal Friendship*1|Healing Word*1|Thunderwave*1	Quarterstaff|Scimitar	1-3	gifted_goldwasser
c07d5cb	d27cba4	17c25b1ca9f1ee172976ef72868378cb	a0c55bf8	Tiefling	Urchin	2019-08-26T10:11:54Z	Rogue 4|Warlock 2	Rogue|Warlock	Inquisitive|Raven Queen	6		42	15	9	16	10	14	10	14		Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception	Rapier|Shortbow|Dagger	Toll The Dead*0|Chill Touch*0|Spare The Dying*0|Sanctuary*1|Sleep*1|Divine Favor*1	Int	eldritch invocations/Eyes of the Rune Keeper*Devil's Sight|expertise/Stealth*Investigation	NA	NA		NA	NA	Tiefling	Toll the Dead*0|Chill Touch*0|Spare the Dying*0|Sanctuary*1|Sleep*1|Divine Favor*1	Rapier|Shortbow|Dagger	4-7	frosty_banach
4ea731f	c1cb7b3	82a71e1c26b334cf89157f971be09c42	42cb73b6	Half-Elf	Charlatan	2019-08-26T06:51:57Z	Warlock 3|Rogue 1	Warlock|Rogue	The Great Old One|	4		26	14	10	16	14	10	10	16	Chaotic Neutral	Acrobatics|Sleight of Hand|Stealth|Arcana|Deception|Intimidation|Persuasion	Crossbow, light|Dagger	Eldritch Blast*0|Vicious Mockery*0|Thaumaturgy*0|Druidcraft*0|Prestidigitation*0|Dissonant Whispers*1|Hex*1|Ritual: Speak With Animals*1|Ritual: Comprehend Languages*1|Ritual: CONTACT RIX*1|Suggestion*2|Misty Step*2	Cha	pact boon/Pact of the Tome|eldritch invocations/Mask of Many Faces*Book of Ancient Secrets|expertise/Stealth*Deception	NA	NA	CN	NA	NA	Half-Elf	Eldritch Blast*0|Vicious Mockery*0|Thaumaturgy*0|Druidcraft*0|Prestidigitation*0|Dissonant Whispers*1|Hex*1|Speak with Animals*1|Comprehend Languages*1|*|Suggestion*2|Misty Step*2	Crossbow, Light|Dagger	4-7	confident_heisenberg
	c2bc057	a232762cfe6f646ee5ba1bd294b73d4b	9455fa96	Dragonborn	Criminal	2019-08-25T18:28:55Z	Monk 12	Monk	Way of the Open Hand	12		51	16	16	19	8	10	14	14		Stealth|History|Insight|Deception	Quarterstaff|Dart|Unarmed Strike		Int		Canada	CA		NA	NA	Dragonborn		Quarterstaff|Dart|Unarmed Strike	12-15	agitated_keller
